Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
1092574,1,20,1666212,58038
1092574,1,30,2325795,48121
1092574,1,40,3058504,47562
1092574,1,50,3571771,48191
1092574,1,60,3009336,44629
1092574,1,70,2315599,46933
1092574,1,80,1706650,44768
1092574,1,90,1094209,65861
1092574,1,100,506212,61111
1409351,32,0,695902,98966
1409351,32,10,1393969,70051
1409351,32,20,2193097,62508
1409351,32,30,3038809,80458
1409351,32,40,3907219,58248
1409351,32,50,4399323,59645
1409351,32,60,3840031,67328
1409351,32,70,2942566,58946
1409351,32,80,2148747,64394
1409351,32,90,1397112,56572
1409351,32,100,705750,62857
1409351,1,0,672435,60483
1409351,1,10,1401861,58667
1409351,1,20,2145325,79479
1409351,1,30,3482513,74172
1409351,1,40,4201462,62997
1409351,1,50,4648728,57270
1409351,1,60,3860635,58667
1409351,1,70,2977976,73752
1409351,1,80,2140646,78083
1409351,1,90,1429797,89607
1409351,1,100,653019,58597
1817974,32,0,870086,137937
1817974,32,10,2274043,104483
1817974,32,20,2816014,122083
1817974,32,30,3862730,122153
1817974,32,40,5050387,76895
1817974,32,50,5661151,88838
1817974,32,60,5018260,81924
1817974,32,70,3826064,86673
1817974,32,80,2771105,84439
1817974,32,90,1785152,106717
1817974,32,100,846411,192972
1817974,1,0,877071,106369
1817974,1,10,1898156,104134
1817974,1,20,2903666,71378
1817974,1,30,3966795,103156
1817974,1,40,5037746,106089
1817974,1,50,5737769,92261
1817974,1,60,5321443,107766
1817974,1,70,3825365,106578
1817974,1,80,2755461,97359
1817974,1,90,1819025,74032
1817974,1,100,846131,88210
2345071,32,0,1174946,111606
2345071,32,10,2369656,122013
2345071,32,20,4176319,143595
2345071,32,30,4973980,140451
2345071,32,40,6732802,183753
2345071,32,50,7318843,165874
2345071,32,60,6441282,149321
2345071,32,70,4925301,108534
2345071,32,80,3633719,143873
2345071,32,90,2353942,148762
2345071,32,100,1086945,120826
2345071,1,0,1227537,204705
2345071,1,10,2348355,167690
2345071,1,20,3871950,142756
2345071,1,30,4982989,178445
2345071,1,40,6707100,115449
2345071,1,50,7349223,194229
2345071,1,60,6433391,155188
2345071,1,70,4951212,314007
2345071,1,80,3538106,100572
2345071,1,90,2337389,179004
2345071,1,100,1085828,133188
3024992,32,0,1440344,195417
3024992,32,10,2996694,189899
3024992,32,20,4584752,205683
3024992,32,30,6389810,268471
3024992,32,40,8346422,221398
3024992,32,50,9507330,168458
3024992,32,60,8272809,157423
3024992,32,70,6299085,152395
3024992,32,80,4643769,152394
3024992,32,90,2989919,195906
3024992,32,100,1421346,230966
3024992,1,0,1449842,122293
3024992,1,10,3000117,280973
3024992,1,20,4564219,140592
3024992,1,30,6375562,150439
3024992,1,40,8375825,167969
3024992,1,50,9433368,180820
3024992,1,60,8268758,198280
3024992,1,70,6352653,132629
3024992,1,80,4641744,188712
3024992,1,90,2989501,140731
3024992,1,100,1399347,130743
3902048,32,0,1851152,214065
3902048,32,10,3853441,184591
3902048,32,20,5947502,178306
3902048,32,30,8258003,187874
3902048,32,40,10821330,215671
3902048,32,50,12137845,200655
3902048,32,60,10703507,227544
3902048,32,70,8300048,292567
3902048,32,80,5912861,343691
3902048,32,90,3889689,276852
3902048,32,100,1839489,272103
3902048,1,0,1876784,168108
3902048,1,10,3962883,270147
3902048,1,20,5901197,272382
3902048,1,30,8272321,490428
3902048,1,40,10777050,272872
3902048,1,50,12394792,205962
3902048,1,60,10762174,213995
3902048,1,70,8143742,218464
3902048,1,80,6159611,166712
3902048,1,90,3908686,191855
3902048,1,100,1839908,196534
5033394,32,0,2478959,265608
5033394,32,10,5058558,216090
5033394,32,20,7712191,280973
5033394,32,30,11034836,313030
5033394,32,40,13897993,320642
5033394,32,50,15693621,272522
5033394,32,60,13794278,223982
5033394,32,70,10696802,243957
5033394,32,80,7591015,221328
5033394,32,90,5002546,215183
5033394,32,100,2324328,250871
5033394,1,0,2408767,461234
5033394,1,10,4983199,277760
5033394,1,20,7667003,508028
5033394,1,30,10784244,253874
5033394,1,40,14003174,353538
5033394,1,50,15697950,362478
5033394,1,60,13801193,368694
5033394,1,70,10729698,340897
5033394,1,80,7597720,239837
5033394,1,90,5018609,235576
5033394,1,100,2345770,224471
6492758,32,0,3147133,715248
6492758,32,10,6754941,499926
6492758,32,20,9935459,442237
6492758,32,30,13930888,544276
6492758,32,40,18139125,517386
6492758,32,50,20293110,447405
6492758,32,60,17825187,493501
